coupling,bayes_auc_target,prevalence,n_nuisance,seed,outcome,exception_type,exception_message,solved_gamma,solved_alpha,realised_prevalence,expected_bayes_auc
0.5,0.85,0.3,0,7,ok,,,1.7477062034084763,-1.1621437132182113,0.3064,0.8500000000000015
0.5,0.85,0.3,20,7,ok,,,1.7477062034084763,-1.1621437132182113,0.3014,0.8500000000000015
0.5,0.95,0.05,0,0,ok,,,2.372861057854019,-5.277925358233759,0.047,0.9500000000000067
0.5,0.95,0.05,20,0,ok,,,2.372861057854019,-5.277925358233759,0.0524,0.9500000000000067
0.5,0.95,0.05,0,1,ok,,,2.327704676179369,-5.253583121456124,0.0538,0.9500000000000303
0.5,0.95,0.05,20,1,ok,,,2.327704676179369,-5.253583121456124,0.047,0.9500000000000303
0.5,0.95,0.05,0,2,ok,,,2.332589682264092,-5.244678547499836,0.052,0.9500000000000153
0.5,0.95,0.05,20,2,ok,,,2.332589682264092,-5.244678547499836,0.0496,0.9500000000000153
0.5,0.95,0.05,0,3,ok,,,2.309009497797723,-5.222711137285721,0.0502,0.9500000000000394
0.5,0.95,0.05,20,3,ok,,,2.309009497797723,-5.222711137285721,0.0496,0.9500000000000394
0.5,0.95,0.05,0,4,ok,,,2.3417438400234922,-5.2319341950366205,0.045,0.9500000000000154
0.5,0.95,0.05,20,4,ok,,,2.3417438400234922,-5.2319341950366205,0.0502,0.9500000000000154
0.5,0.95,0.05,0,5,ok,,,2.3732902732583288,-5.274061461878821,0.049,0.9500000000000046
0.5,0.95,0.05,20,5,ok,,,2.3732902732583288,-5.274061461878821,0.046,0.9500000000000046
0.5,0.95,0.05,0,6,ok,,,2.3680765522907725,-5.283033097495125,0.0462,0.9500000000000076
0.5,0.95,0.05,20,6,ok,,,2.3680765522907725,-5.283033097495125,0.0476,0.9500000000000076
0.5,0.95,0.05,0,7,ok,,,2.3263526298470487,-5.217051605134041,0.0516,0.9500000000000212
0.5,0.95,0.05,20,7,ok,,,2.3263526298470487,-5.217051605134041,0.0534,0.9500000000000212
0.5,0.95,0.1,0,0,ok,,,2.665759015925798,-4.301352581743379,0.0926,0.9499999999995877
