gen,seed,arm,rate,delivered,inj_prev,train_prev,mean_pstar,LogReg,MLP,LGBM
copula,1,balance,0.02,336,0.1011904761904761,0.1010154061624649,0.1069013905975434,0.8251651716325239,0.7204443777395824,0.6654840759846049
copula,1,balance,0.05,840,0.1011904761904761,0.1010204081632653,0.1072692174505984,0.8221976762036344,0.7124766732868958,0.6640569103267351
copula,1,balance,0.1,1680,0.1011904761904761,0.1010281385281385,0.0990577659913775,0.8224550153375495,0.7134052872055505,0.6464516025957329
copula,1,balance,0.2,3360,0.1008928571428571,0.1009920634920635,0.1017026106751476,0.8243258639878724,0.6968367674915225,0.6406517062167103
copula,1,clean,0.02,336,0.0982142857142857,0.1009570494864612,0.1115995311487348,0.8250152141911394,0.7539610866222028,0.6586101913492931
copula,1,clean,0.05,840,0.1023809523809523,0.1010770975056689,0.1061318682648944,0.8267519963485941,0.727604427946413,0.6594897403581776
copula,1,clean,0.1,1680,0.0928571428571428,0.1002705627705627,0.1002271510199063,0.8253093894860345,0.7452019615341386,0.6818587989424081
copula,1,clean,0.2,3360,0.100297619047619,0.1008928571428571,0.1008266970652331,0.8198324520067656,0.7462919264044344,0.6759280485264165
copula,1,creative,0.02,336,0.1011904761904761,0.1010154061624649,0.2403914278428136,0.8282415907327758,0.7407150601303212,0.6678046470444721
copula,1,creative,0.05,840,0.1011904761904761,0.1010204081632653,0.2201455486054999,0.8343461992620432,0.7441457060344143,0.6758503070936509
copula,1,creative,0.1,1680,0.1011904761904761,0.1010281385281385,0.2369960747610506,0.8384315865111803,0.7420934178748928,0.6905303310662818
copula,1,creative,0.2,3360,0.1008928571428571,0.1009920634920635,0.2223794754194175,0.8423552373139689,0.7671417931774633,0.6986609498658136
copula,1,harmful_orig,0.02,336,0.8392857142857143,0.1154878618113912,0.2284090000768555,0.8229635685227981,0.7159531930612323,0.656595917251248
copula,1,harmful_orig,0.05,840,0.8607142857142858,0.13718820861678,0.2187153080396652,0.808139926355091,0.7058726777798795,0.6560460304667604
copula,1,harmful_orig,0.1,1680,0.8470238095238095,0.1688311688311688,0.2257540873672694,0.7682574148622089,0.6709761548393464,0.6768523791705388
copula,1,harmful_orig,0.2,3360,0.8595238095238096,0.2274305555555555,0.2223839380826076,0.7188755856092941,0.6508084852011151,0.6701760605730404
copula,1,harmful_rank,0.02,336,0.1011904761904761,0.1010154061624649,0.245758743960291,0.8065916511098136,0.7450380834505237,0.6407755999325642
copula,1,harmful_rank,0.05,840,0.1011904761904761,0.1010204081632653,0.2311432110753838,0.7909006886820125,0.6935480264726926,0.6527375649687082
copula,1,harmful_rank,0.1,1680,0.1011904761904761,0.1010281385281385,0.2353704337097975,0.7569858922643377,0.683763057134085,0.6398117989136245
copula,1,harmful_rank,0.2,3360,0.1008928571428571,0.1009920634920635,0.227898709857672,0.6278748482007506,0.6661568284990584,0.6094731084031678
copula,1,random,0.02,336,0.1011904761904761,0.1010154061624649,0.2050847575854235,0.823095193549183,0.7566175734872844,0.6660382888763703
copula,1,random,0.05,840,0.1011904761904761,0.1010204081632653,0.2325785563889993,0.8256706836928543,0.7284161084703297,0.6564610797689636
copula,1,random,0.1,1680,0.1011904761904761,0.1010281385281385,0.2147089155042317,0.8296143802204551,0.742746188913652,0.6566607660276708
copula,1,random,0.2,3360,0.1008928571428571,0.1009920634920635,0.224088881805992,0.8271613060629236,0.7564591351623258,0.668143261312642
copula,2,BASE,0.0,0,,0.0991666666666666,,0.8288832252577503,0.7993268748406621,0.7153431691023079
copula,2,balance,0.02,336,0.0982142857142857,0.0991479925303454,0.1068574470516297,0.8276089939170648,0.8005782763280891,0.7007050998037232
copula,2,balance,0.05,840,0.0988095238095238,0.0991496598639455,0.0934087395589993,0.8287755437360023,0.7905117245217125,0.6928068486475818
